restaurantId,infatuationRank,eaterIncluded,observedAt
local,2,true,2026-09-15
magic,3,true,2026-09-15
bl,4,true,2026-09-15
trap,1,false,2026-09-15
jr,15,false,2026-09-15
bando,6,true,2026-09-15
clay,14,true,2026-09-15
fox,,true,2026-09-15
pit,13,true,2026-09-15
nam,,true,2026-09-15
heir,,true,2026-09-15
sweet,,true,2026-09-15
jamal,,true,2026-09-15
ruki,8,false,2026-09-15
american,10,false,2026-09-15
three,,false,2026-09-15
fire,,false,2026-09-15
stein,,false,2026-09-15
argosy,,false,2026-09-15
