restaurant,keyword,avgMonthlySearches,sourceRow
three,3 dollar cafe,5000.0,6
american,american deli,500000.0,7
american,american deli atlanta,5000.0,8
american,american deli wings,5000.0,9
argosy,argosy,50000.0,10
argosy,argosy atlanta,5000.0,11
argosy,argosy wings,,12
bl,b and l atlanta wings,,13
bl,b and l wings,500.0,14
bl,b&l atlanta wings,,15
bl,b&l wings,5000.0,16
clay,clays sports cafe,5000.0,17
clay,clays wings,5000.0,18
fire,firepit pizza grant park,50.0,19
fire,firepit pizza tavern,5000.0,20
fox,fox bros bar bq,5000.0,21
fox,fox bros bbq,5000.0,22
fox,fox bros wings,50.0,23
heir,heirloom bbq atlanta,500.0,24
heir,heirloom bbq wings,,25
heir,heirloom market bbq,50000.0,26
jamal,jamals buffalo wings,500.0,27
jamal,jamals wings atlanta,,28
jr,jr crickets,50000.0,29
magic,magic city atlanta,50000.0,30
magic,magic city kitchen,50000.0,31
magic,magic city wings,5000.0,32
nam,nam phuong,5000.0,33
nam,nam phuong atlanta,5000.0,34
nam,nam phuong buford hwy,50000.0,35
pit,pit boss bbq,50000.0,36
pit,pit boss bbq hapeville atlanta,,37
pit,pit boss bbq hapeville wings,,38
ruki,rukis kitchen,500.0,39
ruki,rukis kitchen atlanta,,40
stein,steinbeck's ale house,50.0,41
stein,steinbeck's ale house wings,,42
sweet,sweet auburn bbq,50000.0,43
sweet,sweet auburn wings,,44
bando,the bando,50000.0,45
bando,the bando atlanta,5000.0,46
bando,the bando wings,500.0,47
local,the local atlanta,5000.0,48
local,the local wings,500.0,49
local,the localthe local,,50
jr,the original jr crickets,500.0,51
three,three dollar cafe,50000.0,52
three,three dollar cafe atlanta,500.0,53
trap,trap wings atlanta,500.0,54
trap,trap wingz,50000.0,55
