id,name,area,address
local,The Local,Ponce / Old Fourth Ward,758 Ponce de Leon Ave NE
magic,Magic City Kitchen,Downtown / Castleberry Hill,"241 Forsyth St SW, Unit A"
bl,B&L Wings,Berkeley Park,800 Forrest St NW
trap,Trap Wingz,Westside / MLK,3330 M.L.K. Jr Dr SW
jr,The Original J.R. Crickets,Midtown / North Avenue,129 North Avenue NE
bando,The Bando,Westside / MLK,"3050 M.L.K. Jr Dr SW, Suite M"
clay,Clay’s Sports Cafe,Sandy Springs,"5975 Roswell Rd, D-245"
fox,Fox Bros. Bar-B-Q,Candler Park,1238 DeKalb Ave NE
pit,Pit Boss BBQ,Hapeville,800 Doug Davis Dr
nam,Nam Phuong,Buford Highway / Brookhaven,4051 Buford Hwy NE
heir,Heirloom Market BBQ,Cumberland / Smyrna area,2243 Akers Mill Rd SE
sweet,Sweet Auburn BBQ,Poncey-Highland,656 N Highland Ave NE
jamal,Jamal’s Buffalo Wings,Westview / Westside,"2001 M.L.K. Jr Dr SW, Suite 106"
ruki,Ruki’s Kitchen,Peoplestown / Switchman Hall,"1161 Ridge Ave SW, Suite 15"
american,American Deli,West End reference store,840 Oak St SW in Infatuation
three,Three Dollar Cafe,Chastain reference branch,4600 Roswell Rd NE in Google
fire,Firepit Pizza Tavern,Grant Park,519 Memorial Dr SE
stein,Steinbeck’s,Oakhurst / Decatur,659 East Lake Dr
argosy,Argosy,East Atlanta Village,470 Flat Shoals Ave SE
