restaurantId,platform,stars,reviewCount,observedAt,sourceUrls,retrievalKind
local,google,4.5,1228,2026-09-15,"[""https://www.google.com/maps/place/The+Local/data=!4m2!3m1!1s0x0:0xdb613cacc8507e91?sa=X&ved=1t:2428&ictx=111""]",Google listing snapshot
local,yelp,4,462,2026-09-15,"[""https://www.yelp.com/biz/the-local-atlanta""]",Indexed Yelp snapshot; full live page unavailable
magic,google,4.4,260,2026-09-15,"[""https://www.google.com/maps/place/Magic+City+Kitchen/data=!4m2!3m1!1s0x0:0x1a3bd6c89dc0d027?sa=X&ved=1t:2428&ictx=111""]",Google listing snapshot
magic,yelp,3.9,62,2026-09-15,"[""https://www.yelp.com/biz/magic-city-kitchen-atlanta""]",Indexed Yelp snapshot; full live page unavailable
bl,google,4.3,305,2026-09-15,"[""https://www.google.com/maps/place/B+%26+L+Wings+(Pick+Up+and+Go+Only)/data=!4m2!3m1!1s0x0:0x3dd0594d68af7d7b?sa=X&ved=1t:2428&ictx=111""]",Google listing snapshot
bl,yelp,4.3,134,2026-09-15,"[""https://www.yelp.com/biz/b-and-l-wings-atlanta""]",Indexed Yelp snapshot; full live page unavailable
trap,google,4.3,86,2026-09-15,"[""https://www.google.com/maps/place/Trap+Wingz+MLK/data=!4m2!3m1!1s0x0:0x725ec588a5d38de1?sa=X&ved=1t:2428&ictx=111""]",Google listing snapshot
jr,google,3.9,4224,2026-09-15,"[""https://www.google.com/maps/place/The+Original+J.R.+Crickets+in+Midtown+Atlanta/data=!4m2!3m1!1s0x0:0xad1b3c8802b1c510?sa=X&ved=1t:2428&ictx=111""]",Google listing snapshot
jr,yelp,3.2,534,2026-09-15,"[""https://www.yelp.com/biz/the-original-j-r-crickets-in-midtown-atlanta-atlanta""]",Indexed Yelp snapshot; full live page unavailable
bando,google,4.3,1798,2026-09-15,"[""https://www.google.com/maps/place/The+Bando/data=!4m2!3m1!1s0x0:0xdb315eab69bd6444?sa=X&ved=1t:2428&ictx=111""]",Google listing snapshot
