year,cpi,restaurantIndex,months,missingMonths
1979,72.575,75.9,12,[]
1980,82.40833333333333,83.44166666666666,12,[]
1981,90.925,90.94166666666666,12,[]
1982,96.5,95.8,12,[]
1983,99.6,99.98333333333333,12,[]
1984,103.88333333333333,104.20833333333333,12,[]
1985,107.56666666666666,108.325,12,[]
1986,109.60833333333333,112.55833333333334,12,[]
1987,113.625,117.03333333333333,12,[]
1988,118.25833333333333,121.76666666666667,12,[]
1989,123.96666666666667,127.39166666666667,12,[]
1990,130.65833333333333,133.40833333333333,12,[]
1991,136.19166666666666,137.91666666666666,12,[]
1992,140.31666666666666,140.7,12,[]
1993,144.45833333333334,143.225,12,[]
1994,148.225,145.65,12,[]
1995,152.38333333333333,148.95833333333334,12,[]
1996,156.85,152.65833333333333,12,[]
1997,160.51666666666665,157.00833333333333,12,[]
1998,163.00833333333333,161.06666666666666,12,[]
1999,166.575,165.1,12,[]
2000,172.2,168.98333333333335,12,[]
2001,177.06666666666666,173.85,12,[]
2002,179.875,178.29166666666666,12,[]
2003,183.95833333333334,182.1,12,[]
2004,188.88333333333333,187.50833333333333,12,[]
2005,195.29166666666666,193.41666666666666,12,[]
2006,201.59166666666667,199.38333333333333,12,[]
2007,207.34241666666668,206.659,12,[]
2008,215.3025,215.76925,12,[]
2009,214.537,223.27191666666667,12,[]
2010,218.0555,226.1135,12,[]
2011,224.93916666666667,231.40116666666668,12,[]
2012,229.59391666666667,237.9865,12,[]
2013,232.95708333333334,243.0685,12,[]
2014,236.73616666666666,248.98108333333332,12,[]
2015,237.017,256.10066666666665,12,[]
2016,240.00716666666668,262.69533333333334,12,[]
2017,245.11958333333334,268.8258333333333,12,[]
2018,251.10683333333333,275.8930833333333,12,[]
2019,255.65741666666668,284.4096666666667,12,[]
2020,258.8111666666667,293.94433333333336,12,[]
2021,270.96975,307.29608333333334,12,[]
2022,292.6549166666667,330.822,12,[]
2023,304.7015833333333,354.2556666666667,12,[]
2024,313.6888333333333,368.74283333333335,12,[]
2025,321.943,382.37836363636364,11,"[""2025-10""]"
