symbol,name,price,change,changePercent,snapshotAt,quoteTime
NVDA,Nvidia Corp,210.96,-7.33,-3.36,2026-09-15T02:44:46.301Z,
AAPL,Apple Inc.,333.08,0.81,0.24,2026-09-15T02:44:46.301Z,
MSFT,Microsoft Corp,505.41,9.78,1.97,2026-09-15T02:44:46.301Z,
AMZN,Amazon.Com Inc,253.54,-3.24,-1.26,2026-09-15T02:44:46.301Z,
GOOGL,Alphabet Inc. Class A Common Stock,349.39,10.89,3.22,2026-09-15T02:44:46.301Z,
GOOG,Alphabet Inc. Class C Capital Stock,345.71,10.26,3.06,2026-09-15T02:44:46.301Z,
META,"Meta Platforms, Inc. Class A Common Stock",665.6,17.57,2.71,2026-09-15T02:44:46.301Z,
AVGO,Broadcom Inc. Common Stock,344.72,-17.27,-4.77,2026-09-15T02:44:46.301Z,
TSLA,"Tesla, Inc. Common Stock",358.97,-6.47,-1.77,2026-09-15T02:44:46.301Z,
BRK.B,BERKSHIRE HATHAWAY Class B,514.95,4.58,0.9,2026-09-15T02:44:46.301Z,
MU,"Micron Technology, Inc.",924.03,-51.23,-5.25,2026-09-15T02:44:46.301Z,
LLY,Eli Lilly & Co.,1138.28,22.58,2.02,2026-09-15T02:44:46.301Z,
JPM,JPMorgan Chase & Co.,350.13,-6.1,-1.71,2026-09-15T02:44:46.301Z,
WMT,Walmart Inc. Common Stock,109.08,1.93,1.8,2026-09-15T02:44:46.301Z,
AMD,Advanced Micro Devices,493.41,-22.72,-4.4,2026-09-15T02:44:46.301Z,
V,VISA Inc.,375.28,4.83,1.3,2026-09-15T02:44:46.301Z,
XOM,ExxonMobil Holdings Corporation,165.08,-0.91,-0.55,2026-09-15T02:44:46.301Z,
JNJ,Johnson & Johnson,266.32,0.74,0.28,2026-09-15T02:44:46.301Z,
INTC,Intel Corp,97.19,-5.75,-5.59,2026-09-15T02:44:46.301Z,
MA,Mastercard Incorporated,574.42,5.23,0.92,2026-09-15T02:44:46.301Z,
ABBV,ABBVIE INC.,261.77,4.65,1.81,2026-09-15T02:44:46.301Z,
CSCO,"Cisco Systems, Inc. Common Stock (DE)",110.06,-2.07,-1.85,2026-09-15T02:44:46.301Z,
ORCL,Oracle Corp,144.79,-5.49,-3.65,2026-09-15T02:44:46.301Z,
PLTR,Palantir Technologies Inc. Class A Common Stock,173.31,6.08,3.64,2026-09-15T02:44:46.301Z,
CVX,Chevron Corporation,212.17,-1.89,-0.88,2026-09-15T02:44:46.301Z,
BAC,Bank of America Corporation,59.47,-3.22,-5.14,2026-09-15T02:44:46.301Z,
COST,Costco Wholesale Corp,918.91,14.14,1.56,2026-09-15T02:44:46.301Z,
KO,Coca-Cola Company,89.35,1.06,1.2,2026-09-15T02:44:46.301Z,
CAT,Caterpillar Inc.,784,-34.57,-4.22,2026-09-15T02:44:46.301Z,
MRK,"Merck & Co., Inc.",144.85,0.92,0.64,2026-09-15T02:44:46.301Z,
UNH,UNITEDHEALTH GROUP INCORPORATED (Delaware),383.55,4.46,1.18,2026-09-15T02:44:46.301Z,
LRCX,Lam Research Corp,273.49,-24.73,-8.29,2026-09-15T02:44:46.301Z,
DELL,Dell Technologies Inc.,534.28,-33.01,-5.82,2026-09-15T02:44:46.301Z,
PG,Procter & Gamble Company,146.13,0.86,0.59,2026-09-15T02:44:46.301Z,
AMAT,Applied Materials Inc,424.21,-32.28,-7.07,2026-09-15T02:44:46.301Z,
NFLX,NetFlix Inc,80.32,2.92,3.77,2026-09-15T02:44:46.301Z,
GE,GE Aerospace,317.56,-6.1,-1.88,2026-09-15T02:44:46.301Z,
MS,Morgan Stanley,206.58,-7.8,-3.64,2026-09-15T02:44:46.301Z,
HD,"Home Depot, Inc.",310.87,2.13,0.69,2026-09-15T02:44:46.301Z,
PANW,"Palo Alto Networks, Inc. Common Stock",373.94,43.29,13.09,2026-09-15T02:44:46.301Z,
PM,Philip Morris International Inc.,194.86,3.8,1.99,2026-09-15T02:44:46.301Z,
GS,Goldman Sachs Group Inc.,988.45,-40.73,-3.96,2026-09-15T02:44:46.301Z,
WFC,Wells Fargo & Co.,88.71,-1.58,-1.75,2026-09-15T02:44:46.301Z,
RTX,RTX Corporation,195.34,-2.34,-1.18,2026-09-15T02:44:46.301Z,
CRWD,"CrowdStrike Holdings, Inc. Class A Common Stock",235.38,28.64,13.85,2026-09-15T02:44:46.301Z,
TXN,Texas Instruments Incorporated,263.42,-5.28,-1.97,2026-09-15T02:44:46.301Z,
ANET,Arista Networks,187.81,-11.78,-5.9,2026-09-15T02:44:46.301Z,
IBM,International Business Machines Corporation,249.09,5.8,2.38,2026-09-15T02:44:46.301Z,
GEV,GE Vernova Inc.,874.76,-82.51,-8.62,2026-09-15T02:44:46.301Z,
C,Citigroup Inc.,136.18,-2.64,-1.9,2026-09-15T02:44:46.301Z,
SNDK,Sandisk Corporation Common Stock,1551.99,-81.36,-4.98,2026-09-15T02:44:46.301Z,
TMO,"Thermo Fisher Scientific, Inc.",613.62,3.8,0.62,2026-09-15T02:44:46.301Z,
AXP,American Express Company,327.78,3.09,0.95,2026-09-15T02:44:46.301Z,
KLAC,KLA Corporation Common Stock,169.09,-11.55,-6.39,2026-09-15T02:44:46.301Z,
LIN,Linde plc Ordinary Share,464.41,-1.81,-0.39,2026-09-15T02:44:46.301Z,
CRM,"Salesforce, Inc.",259.43,11.71,4.73,2026-09-15T02:44:46.301Z,
VZ,Verizon Communications,51.29,0.68,1.34,2026-09-15T02:44:46.301Z,
AMGN,Amgen Inc,381.5,4.15,1.1,2026-09-15T02:44:46.301Z,
MRVL,"Marvell Technology, Inc. Common Stock",218.82,-17.28,-7.32,2026-09-15T02:44:46.301Z,
TMUS,"T-Mobile US, Inc.",182.9,0.57,0.31,2026-09-15T02:44:46.301Z,
APH,Amphenol Corporation,78.55,-5.37,-6.4,2026-09-15T02:44:46.301Z,
QCOM,Qualcomm Inc,180.15,-1.82,-1,2026-09-15T02:44:46.301Z,
DIS,The Walt Disney Company,108.59,2.04,1.91,2026-09-15T02:44:46.301Z,
PEP,"PepsiCo, Inc.",136.34,0.02,0.01,2026-09-15T02:44:46.301Z,
SCHW,The Charles Schwab Corporation,107.31,0.06,0.06,2026-09-15T02:44:46.301Z,
DE,Deere & Company,681.46,5.72,0.85,2026-09-15T02:44:46.301Z,
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),805.55,-24.62,-2.97,2026-09-15T02:44:46.301Z,
MCD,McDonald's Corporation,257.49,4.96,1.96,2026-09-15T02:44:46.301Z,
T,AT&T Inc.,26.51,0.45,1.73,2026-09-15T02:44:46.301Z,
GILD,Gilead Sciences Inc,146.41,2.69,1.87,2026-09-15T02:44:46.301Z,
ABT,Abbott Laboratories,103.09,1.14,1.12,2026-09-15T02:44:46.301Z,
ADI,"Analog Devices, Inc.",361.02,-17.76,-4.69,2026-09-15T02:44:46.301Z,
NEE,"NextEra Energy, Inc.",81.63,-0.68,-0.83,2026-09-15T02:44:46.301Z,
UNP,Union Pacific Corp.,285.08,0.68,0.24,2026-09-15T02:44:46.301Z,
WELL,Welltower Inc.,234.21,-1.41,-0.6,2026-09-15T02:44:46.301Z,
BA,Boeing Company,210.27,-0.18,-0.09,2026-09-15T02:44:46.301Z,
BLK,"Blackrock, Inc.",1065.6,-14.05,-1.3,2026-09-15T02:44:46.301Z,
COP,ConocoPhillips,136.67,-0.68,-0.5,2026-09-15T02:44:46.301Z,
PFE,Pfizer Inc.,27.72,0,0,2026-09-15T02:44:46.301Z,
WDC,Western Digital Corp.,426.94,-20.24,-4.53,2026-09-15T02:44:46.301Z,
ETN,"Eaton Corporation, plc Ordinary Shares",393.16,-32.21,-7.57,2026-09-15T02:44:46.301Z,
UBER,"Uber Technologies, Inc.",72.63,0.96,1.34,2026-09-15T02:44:46.301Z,
NOW,"SERVICENOW, INC.",142.35,9.82,7.41,2026-09-15T02:44:46.301Z,
DHR,Danaher Corporation,203.25,3.11,1.55,2026-09-15T02:44:46.301Z,
TJX,"TJX Companies, Inc. (The)",125.99,-0.03,-0.02,2026-09-15T02:44:46.301Z,
ISRG,Intuitive Surgical Inc.,377.94,8.79,2.38,2026-09-15T02:44:46.301Z,
CB,Chubb Limited,341.85,3.6,1.06,2026-09-15T02:44:46.301Z,
BKNG,Booking Holdings Inc. Common Stock,175.35,1.43,0.82,2026-09-15T02:44:46.301Z,
VRTX,Vertex Pharmaceuticals Inc,519.51,4.07,0.79,2026-09-15T02:44:46.301Z,
BMY,Bristol-Myers Squibb Co.,64.1,0.46,0.72,2026-09-15T02:44:46.301Z,
NEM,Newmont Corporation,123.07,-3.74,-2.95,2026-09-15T02:44:46.301Z,
PLD,"PROLOGIS, INC.",135.19,-0.56,-0.41,2026-09-15T02:44:46.301Z,
PGR,Progressive Corporation,221.02,3.4,1.56,2026-09-15T02:44:46.301Z,
COF,Capital One Financial,206.68,-1.62,-0.78,2026-09-15T02:44:46.301Z,
FTNT,"Fortinet, Inc.",170.18,14.11,9.04,2026-09-15T02:44:46.301Z,
GLW,Corning Incorporated,143.6,-22.8,-13.7,2026-09-15T02:44:46.301Z,
SPGI,S&P Global Inc.,418.54,7.83,1.91,2026-09-15T02:44:46.301Z,
CVS,CVS HEALTH CORPORATION,95.55,0.89,0.94,2026-09-15T02:44:46.301Z,
LMT,Lockheed Martin Corp.,529.38,5.19,0.99,2026-09-15T02:44:46.301Z,
MDT,Medtronic plc,93.8,2.84,3.12,2026-09-15T02:44:46.301Z,
ACN,Accenture PLC,195,11.1,6.04,2026-09-15T02:44:46.301Z,
MO,"Altria Group, Inc.",70.61,1.63,2.36,2026-09-15T02:44:46.301Z,
PH,Parker-Hannifin Corporation,928.83,-21.4,-2.25,2026-09-15T02:44:46.301Z,
SBUX,Starbucks Corp,99.07,0.33,0.33,2026-09-15T02:44:46.301Z,
APP,Applovin Corporation Class A Common Stock,334.24,10.28,3.17,2026-09-15T02:44:46.301Z,
MPC,MARATHON PETROLEUM CORPORATION,396.45,0.52,0.13,2026-09-15T02:44:46.301Z,
LOW,Lowe's Companies Inc.,198.17,1.35,0.69,2026-09-15T02:44:46.301Z,
VLO,Valero Energy Corporation,382.95,-7.47,-1.91,2026-09-15T02:44:46.301Z,
ADP,Automatic Data Processing,276.63,8.37,3.12,2026-09-15T02:44:46.301Z,
SYK,Stryker Corporation,281.87,6.31,2.29,2026-09-15T02:44:46.301Z,
BNY,Bank of New York Mellon Corporation,157.66,-5,-3.07,2026-09-15T02:44:46.301Z,
MCK,McKesson Corporation,910.95,29.44,3.34,2026-09-15T02:44:46.301Z,
ADBE,Adobe Inc.,265.6,13.37,5.3,2026-09-15T02:44:46.301Z,
HOOD,"Robinhood Markets, Inc. Class A Common Stock",114.33,1.76,1.56,2026-09-15T02:44:46.301Z,
PSX,PHILLIPS 66,257.06,-2.41,-0.93,2026-09-15T02:44:46.301Z,
CME,CME Group Inc.,280.46,4.92,1.79,2026-09-15T02:44:46.301Z,
ABNB,"Airbnb, Inc. Class A Common Stock",170.65,0.46,0.27,2026-09-15T02:44:46.301Z,
SO,The Southern Company,87,-0.17,-0.2,2026-09-15T02:44:46.301Z,
FCX,Freeport-McMoran Inc.,69.34,-1.73,-2.43,2026-09-15T02:44:46.301Z,
EQIX,"Equinix, Inc. Common Stock REIT",998.72,-39,-3.76,2026-09-15T02:44:46.301Z,
USB,U.S. Bancorp,62.68,-0.16,-0.25,2026-09-15T02:44:46.301Z,
PNC,PNC Financial Services Group,242.72,-1.52,-0.62,2026-09-15T02:44:46.301Z,
GD,General Dynamics Corporation,356.81,0.91,0.26,2026-09-15T02:44:46.301Z,
BX,Blackstone Inc.,128.29,-0.22,-0.17,2026-09-15T02:44:46.301Z,
CEG,Constellation Energy Corporation Common Stock,264.57,-20.18,-7.09,2026-09-15T02:44:46.301Z,
TT,Trane Technologies plc,426.01,-16.51,-3.73,2026-09-15T02:44:46.301Z,
PWR,"Quanta Services, Inc.",622.02,-28.56,-4.39,2026-09-15T02:44:46.301Z,
DUK,Duke Energy Corporation,119.02,-0.4,-0.33,2026-09-15T02:44:46.301Z,
HCA,"HCA Healthcare, Inc.",425.49,-1.45,-0.34,2026-09-15T02:44:46.301Z,
ELV,"Elevance Health, Inc.",424.24,5.52,1.32,2026-09-15T02:44:46.301Z,
KKR,KKR & Co. Inc.,102.27,1.19,1.18,2026-09-15T02:44:46.301Z,
VRT,Vertiv Holdings Co Class A Common Stock,237.39,-19.67,-7.65,2026-09-15T02:44:46.301Z,
INTU,Intuit Inc,339.15,17.58,5.47,2026-09-15T02:44:46.301Z,
CSX,CSX Corporation,48.91,-0.04,-0.08,2026-09-15T02:44:46.301Z,
HWM,Howmet Aerospace Inc.,227.13,-2.48,-1.08,2026-09-15T02:44:46.301Z,
MAR,Marriott International Class A Common Stock,340.46,5.77,1.72,2026-09-15T02:44:46.301Z,
ICE,Intercontinental Exchange Inc.,157.75,0.35,0.22,2026-09-15T02:44:46.301Z,
CMCSA,Comcast Corp,24.88,-0.32,-1.27,2026-09-15T02:44:46.301Z,
DASH,"DoorDash, Inc. Class A Common Stock",203.54,1.59,0.79,2026-09-15T02:44:46.301Z,
WMB,Williams Companies Inc.,71.95,-0.9,-1.24,2026-09-15T02:44:46.301Z,
WM,"Waste Management, Inc.",218.09,4.63,2.17,2026-09-15T02:44:46.301Z,
UPS,"United Parcel Service, Inc. Class B",102.46,2.18,2.17,2026-09-15T02:44:46.301Z,
MNST,Monster Beverage Corporation,44.2,0.8,1.84,2026-09-15T02:44:46.301Z,
MRSH,Marsh,180.43,3.52,1.99,2026-09-15T02:44:46.301Z,
MMM,3M Company,162.02,-2.95,-1.79,2026-09-15T02:44:46.301Z,
JCI,Johnson Controls International plc,137.76,-8.25,-5.65,2026-09-15T02:44:46.301Z,
MCO,Moody's Corporation,477.93,2.98,0.63,2026-09-15T02:44:46.301Z,
EMR,Emerson Electric Co.,148.3,-3.89,-2.56,2026-09-15T02:44:46.301Z,
DDOG,"Datadog, Inc. Class A Common Stock",230.05,8.84,4,2026-09-15T02:44:46.301Z,
AMT,American Tower Corporation,176.94,-0.91,-0.51,2026-09-15T02:44:46.301Z,
REGN,Regeneron Pharmaceuticals Inc,793.74,12.25,1.57,2026-09-15T02:44:46.301Z,
CTAS,Cintas Corp,200.82,-0.68,-0.34,2026-09-15T02:44:46.301Z,
MDLZ,"Mondelez International, Inc. Class A",62.39,-0.05,-0.08,2026-09-15T02:44:46.301Z,
SLB,SLB Limited,53.32,-2.74,-4.89,2026-09-15T02:44:46.301Z,
TRV,"The Travelers Companies, Inc.",378.05,2.85,0.76,2026-09-15T02:44:46.301Z,
SHW,The Sherwin-Williams Company,324.5,1.19,0.37,2026-09-15T02:44:46.301Z,
MSI,"Motorola Solutions, Inc. New",474.13,7.97,1.71,2026-09-15T02:44:46.301Z,
EOG,"EOG Resources, Inc.",148.54,1.18,0.8,2026-09-15T02:44:46.301Z,
ECL,"Ecolab, Inc.",275.51,-0.67,-0.24,2026-09-15T02:44:46.301Z,
CDNS,Cadence Design Systems,279.06,-10.31,-3.56,2026-09-15T02:44:46.301Z,
CI,The Cigna Group,290.05,9.29,3.31,2026-09-15T02:44:46.301Z,
ITW,Illinois Tool Works Inc.,269.04,0.88,0.33,2026-09-15T02:44:46.301Z,
GM,General Motors Company,87.16,1.54,1.8,2026-09-15T02:44:46.301Z,
APO,"Apollo Global Management, Inc.",128.31,-0.67,-0.52,2026-09-15T02:44:46.301Z,
NOC,Northrop Grumman Corp.,527.39,8.42,1.62,2026-09-15T02:44:46.301Z,
LITE,Lumentum Holdings Inc. Common Stock,835.03,-92,-9.92,2026-09-15T02:44:46.301Z,
CMI,Cummins Inc.,541.1,-15.65,-2.81,2026-09-15T02:44:46.301Z,
FDX,FedEx Corporation,312.57,0.58,0.19,2026-09-15T02:44:46.301Z,
XEL,"Xcel Energy, Inc.",74.16,-1.34,-1.77,2026-09-15T02:44:46.301Z,
PYPL,"PayPal Holdings, Inc. Common Stock",54.03,0.31,0.58,2026-09-15T02:44:46.301Z,
VTR,"Ventas, Inc.",89.1,-0.89,-0.99,2026-09-15T02:44:46.301Z,
CIEN,Ciena Corporation,319.64,-29.9,-8.55,2026-09-15T02:44:46.301Z,
EXC,Exelon Corporation,42.72,-0.44,-1.02,2026-09-15T02:44:46.301Z,
IQV,IQVIA Holdings Inc.,265.67,3.9,1.49,2026-09-15T02:44:46.301Z,
VEEV,Veeva Systems Inc.,265.67,3.27,1.25,2026-09-15T02:44:46.301Z,
FERG,Ferguson Enterprises Inc.,222.31,-0.23,-0.1,2026-09-15T02:44:46.301Z,
KDP,Keurig Dr Pepper Inc.,31.58,0.19,0.61,2026-09-15T02:44:46.301Z,
PAYX,Paychex Inc,118.51,2.71,2.34,2026-09-15T02:44:46.301Z,
TTWO,Take-Two Interactive Software Inc,222.91,7.44,3.45,2026-09-15T02:44:46.301Z,
ADM,Archer Daniels Midland Company,86.44,-0.28,-0.32,2026-09-15T02:44:46.301Z,
A,Agilent Technologies Inc.,146.8,-0.13,-0.09,2026-09-15T02:44:46.301Z,
PRU,"Prudential Financial, Inc.",119.5,0.26,0.22,2026-09-15T02:44:46.301Z,
IBKR,"Interactive Brokers Group, Inc. Class A Common Stock",90.75,-0.62,-0.68,2026-09-15T02:44:46.301Z,
CBRE,"CBRE GROUP, INC.",140.9,0.39,0.28,2026-09-15T02:44:46.301Z,
WAT,Waters Corp,410.01,1.67,0.41,2026-09-15T02:44:46.301Z,
MSCI,"MSCI, Inc.",553.65,-0.96,-0.17,2026-09-15T02:44:46.301Z,
IDXX,Idexx Laboratories Inc,509.56,4.86,0.96,2026-09-15T02:44:46.301Z,
SYY,Sysco Corporation,83.54,0.33,0.4,2026-09-15T02:44:46.301Z,
FLEX,Flex Ltd. Ordinary Shares,108.32,-7.46,-6.44,2026-09-15T02:44:46.301Z,
LYV,Live Nation Entertainment Inc.,171.49,1.34,0.79,2026-09-15T02:44:46.301Z,
YUM,"Yum! Brands, Inc.",146.33,5.46,3.88,2026-09-15T02:44:46.301Z,
AIG,"American International Group, Inc.",76.29,0.96,1.27,2026-09-15T02:44:46.301Z,
AXON,"Axon Enterprise, Inc. Common Stock",490.18,10.84,2.26,2026-09-15T02:44:46.301Z,
ED,"Consolidated Edison, Inc.",105.78,-0.68,-0.64,2026-09-15T02:44:46.301Z,
ROP,"Roper Technologies, Inc. Common Stock",394.61,6.09,1.57,2026-09-15T02:44:46.301Z,
DHI,D.R. Horton Inc.,139.41,1.52,1.1,2026-09-15T02:44:46.301Z,
MCHP,Microchip Technology Inc,71.48,-2.72,-3.67,2026-09-15T02:44:46.301Z,
ODFL,Old Dominion Freight Line,181.91,2.12,1.18,2026-09-15T02:44:46.301Z,
HIG,"The Hartford Insurance Group, Inc.",137.59,1.23,0.9,2026-09-15T02:44:46.301Z,
NTAP,"NetApp, Inc",188.28,-11,-5.52,2026-09-15T02:44:46.301Z,
KR,The Kroger Co.,60.91,2.42,4.14,2026-09-15T02:44:46.301Z,
MLM,Martin Marietta Materials,500.92,-9.04,-1.77,2026-09-15T02:44:46.301Z,
EL,The Estee Lauder Companies Inc. Class A,98.22,1.1,1.13,2026-09-15T02:44:46.301Z,
UAL,"United Airlines Holdings, Inc. Common Stock",108.96,-0.86,-0.78,2026-09-15T02:44:46.301Z,
PEG,Public Service Enterprise Group Incorporated,70.92,-1.47,-2.03,2026-09-15T02:44:46.301Z,
HSY,The Hershey Company,173.68,0.36,0.21,2026-09-15T02:44:46.301Z,
EXPE,"Expedia Group, Inc. Common Stock",287.86,7.03,2.5,2026-09-15T02:44:46.301Z,
KVUE,Kenvue Inc.,17.91,0.13,0.73,2026-09-15T02:44:46.301Z,
MTB,M&T Bank Corp.,237.82,-2.01,-0.84,2026-09-15T02:44:46.301Z,
CNC,Centene Corporation,69.41,2.99,4.5,2026-09-15T02:44:46.301Z,
WEC,"WEC Energy Group, Inc.",105.17,-0.16,-0.15,2026-09-15T02:44:46.301Z,
HBAN,Huntington Bancshares Inc,16.77,-0.09,-0.53,2026-09-15T02:44:46.301Z,
STLD,Steel Dynamics Inc,234.53,-5.26,-2.19,2026-09-15T02:44:46.301Z,
ACGL,Arch Capital Group Ltd,97.95,1.86,1.94,2026-09-15T02:44:46.301Z,
IRM,Iron Mountain Inc.,112.06,-3.12,-2.71,2026-09-15T02:44:46.301Z,
EQT,EQT CORP,53.21,-0.86,-1.59,2026-09-15T02:44:46.301Z,
FSLR,"First Solar, Inc.",207.04,-1.99,-0.95,2026-09-15T02:44:46.301Z,
OMC,Omnicom Group Inc.,81.07,2.06,2.61,2026-09-15T02:44:46.301Z,
STZ,"Constellation Brands, Inc.",125,2.55,2.08,2026-09-15T02:44:46.301Z,
