state,rpp,population,rppYear,populationYear
AL,88.823,5193088,2024,2025
AK,102.359,737270,2024,2025
AZ,100.677,7623818,2024,2025
AR,86.937,3114791,2024,2025
CA,110.72,39355309,2024,2025
CO,103.052,6012561,2024,2025
CT,103.61,3688496,2024,2025
DE,99.808,1059952,2024,2025
DC,109.901,693645,2024,2025
FL,103.414,23462518,2024,2025
GA,96.293,11302748,2024,2025
HI,109.951,1432820,2024,2025
ID,95.494,2029733,2024,2025
IL,99.958,12719141,2024,2025
IN,93.329,6973333,2024,2025
IA,87.762,3238387,2024,2025
KS,90.068,2977220,2024,2025
KY,90.159,4606864,2024,2025
LA,88.207,4618189,2024,2025
ME,97.05,1414874,2024,2025
MD,104.959,6265347,2024,2025
MA,105.757,7154084,2024,2025
MI,96.217,10127884,2024,2025
MN,98.621,5830405,2024,2025
MS,86.953,2954160,2024,2025
MO,90.817,6270541,2024,2025
MT,94.645,1144694,2024,2025
NE,90.103,2018006,2024,2025
NV,99.979,3282188,2024,2025
NH,104.165,1415342,2024,2025
NJ,108.805,9548215,2024,2025
NM,92.212,2125498,2024,2025
NY,107.921,20002427,2024,2025
NC,94.326,11197968,2024,2025
ND,88.959,799358,2024,2025
OH,92.774,11900510,2024,2025
OK,87.843,4123288,2024,2025
OR,103.361,4273586,2024,2025
PA,97.572,13059432,2024,2025
RI,102.28,1114521,2024,2025
SC,93.749,5570274,2024,2025
SD,88.586,935094,2024,2025
TN,91.87,7315076,2024,2025
TX,97.057,31709821,2024,2025
UT,98.864,3538904,2024,2025
VT,97.958,644663,2024,2025
VA,101.104,8880107,2024,2025
WA,107.013,8001020,2024,2025
WV,89.497,1766147,2024,2025
WI,94.095,5972787,2024,2025
WY,92.691,588753,2024,2025
