id,name,state,city,market,locationStatus,evidenceStatus,samEntryId,suggestionRows,suggestedCities
wing-1,Bar-Bill Tavern,NY,,"East Aurora, NY",Market-level seed; exact branch not verified,scored-visit,sam-row-3,"[1206,1207,1208,1209,1218,1219,1220,1225,1226,1227,1228,1210,1211,1212,1213,1221,1229,1214,1215,1216,1223]","[""Buffalo"",""Buffalo (specifically Aurora location)"",""East Aurora""]"
wing-2,J. Timothy's Taverne,CT,,"Plainville, CT",Market-level seed; exact branch not verified,scored-visit,sam-row-9,"[284,285,286,287]","[""Plainville""]"
wing-3,Valley Wings,AZ,,"Phoenix, AZ",Market-level seed; exact branch not verified,jon-seed,,"[125,126,127]","[""Phoenix""]"
wing-4,Buff's Pub,MA,,"Newton, MA",Market-level seed; exact branch not verified,jon-seed,,"[731,732,733]","[""Newton""]"
wing-5,The Peanut,MO,,"Kansas City, MO",Market-level seed; exact branch not verified,scored-visit,sam-row-21,"[926,927,928,929,930,931,932,933,934,935,936,937,938,939,940,941,942,943,944,945,946,947,948,951,952,949,950]","[""Kansas City"",""Lees Summit""]"
wing-6,Seoulside Wings,TX,,"Houston, TX",Market-level seed; exact branch not verified,jon-seed,,[],
wing-7,Vindicktive Bar & Wings,WA,,"Seattle, WA",Market-level seed; exact branch not verified,scored-visit,sam-row-13,[1847],"[""Seattle""]"
wing-8,Gabriel's Gate,NY,,"Buffalo, NY",Market-level seed; exact branch not verified,scored-visit,sam-row-59,"[1298,1299,1300,1301,1302,1303,1304,1306,1307,1308,1309,1310,1305]","[""Buffalo""]"
wing-9,Clay's Sports Cafe,GA,,"Atlanta, GA",Market-level seed; exact branch not verified,jon-seed,,"[394,395]","[""Atlanta"",""Sandy Springs""]"
wing-10,Kislings Tavern,MD,,"Baltimore, MD",Market-level seed; exact branch not verified,jon-seed,,[],
wing-11,Double Dub's,WY,,Wyoming,Market-level seed; exact branch not verified,scored-visit,sam-row-4,"[1947,1949,1956,1957]","[""Laramie"",""Cheyenne""]"
wing-12,Gators Wing Shack,IL,,"Palatine, IL",Market-level seed; exact branch not verified,jon-seed,,"[562,563,565,566,567]","[""Palatine"",""Palatine, Illinois- about 15 minutes away from o’hare airport""]"
wing-13,Center Street Grille,PA,,"Enola, PA",Market-level seed; exact branch not verified,jon-seed,,[],
wing-14,AJ's Wings,NM,,"Portales, NM",Market-level seed; exact branch not verified,jon-seed,,[1166],"[""Portales""]"
wing-15,Mario's Fishbowl,WV,,"Morgantown, WV",Market-level seed; exact branch not verified,jon-seed,,[],
wing-16,Chute Rooster,SD,,"Hill City, SD",Market-level seed; exact branch not verified,jon-seed,,[],
wing-17,Bayou Hot Wings,LA,,"New Orleans, LA",Market-level seed; exact branch not verified,jon-seed,,[705],"[""New Orleans""]"
wing-18,Jimmy's Old Town Tavern,VA,,"Herndon, VA",Market-level seed; exact branch not verified,jon-seed,,[1811],"[""Herndon""]"
wing-19,Stark House Tavern,NH,,"Weare, NH",Market-level seed; exact branch not verified,scored-visit,sam-row-31,[],
wing-20,The Original Wing Factory,GA,,"Atlanta, GA",Market-level seed; exact branch not verified,jon-seed,,[],
wing-21,Wing Doozy,MI,,Michigan,Market-level seed; exact branch not verified,jon-seed,,"[825,826]","[""Grand Rapids"",""Wyoming""]"
wing-22,Scovilles,UT,,"Salt Lake City, UT",Market-level seed; exact branch not verified,jon-seed,,[1780],"[""Salt Lake City""]"
wing-23,Nawf of the City B&G,AR,,"North Little Rock, AR",Market-level seed; exact branch not verified,jon-seed,,[],
wing-24,Fire on the Mountain,OR,,"Portland, OR",Market-level seed; exact branch not verified,scored-visit,sam-row-60,"[1529,1530,1531,1532,1533,1534,1535,1536,1537,1538,1539,1540,1541]","[""Portland""]"
wing-25,Ale Emporium,IN,,"Indianapolis, IN",Market-level seed; exact branch not verified,scored-visit,sam-row-67,"[588,589,590,591,592,593,594,595,596,600,597,598,599,601]","[""Greenwood"",""Indianapolis"",""Indianapolis or Greenwood""]"
wing-26,Supreme Hot Wings,TN,,"Memphis, TN",Market-level seed; exact branch not verified,jon-seed,,[],
wing-27,Desperado Sports Tavern,MT,,"Missoula, MT",Market-level seed; exact branch not verified,scored-visit,sam-row-62,[],
wing-28,Moosehead Grille,NC,,"Charlotte, NC",Market-level seed; exact branch not verified,scored-visit,sam-row-44,[],
wing-29,Crispy Gài,ME,,"Portland, ME",Market-level seed; exact branch not verified,jon-seed,,[],
wing-30,Flanigan's,FL,,South Florida,Market-level seed; exact branch not verified,jon-seed,,"[330,331]","[""Palm Beach County""]"
wing-31,Legend Larry's,WI,,Wisconsin,Market-level seed; exact branch not verified,scored-visit,sam-row-17,"[1883,1884,1888,1889,1890,1891,1893,1885,1886,1887]","[""Green Bay"",""Sheboygan Falls""]"
wing-32,Wing Supreme,OK,,"Oklahoma City, OK",Market-level seed; exact branch not verified,scored-visit,sam-row-45,"[1521,1522]","[""Oklahoma City""]"
wing-33,The Local,GA,,"Atlanta, GA",Market-level seed; exact branch not verified,scored-visit,sam-row-2,"[422,423,424,425,426,427,428]","[""Atlanta""]"
wing-34,Colorado Hots,CO,,"Wheat Ridge, CO",Market-level seed; exact branch not verified,jon-seed,,[],
wing-35,Chicago Pizza & Sports,GA,,"Atlanta, GA",Market-level seed; exact branch not verified,jon-seed,,[],
wing-36,Chicken Coop Kitchen & Bar,RI,,"Johnston, RI",Market-level seed; exact branch not verified,jon-seed,,[],
wing-37,Trap Wingz,GA,,"Atlanta, GA",Atlanta market verified from official locations; historical tasting branch unresolved,jon-seed,,[],
wing-38,"Momma's Mustard, Pickles & BBQ",KY,,"Louisville, KY",Market-level seed; exact branch not verified,scored-visit,sam-row-69,[],
wing-39,The Pig and the Lady,HI,,"Honolulu, HI",Market-level seed; exact branch not verified,jon-seed,,[],
wing-40,Oscars Pizza & Sports Grille,NE,,"Omaha, NE",Market-level seed; exact branch not verified,scored-visit,sam-row-84,[],
wing-41,Parrot's Cay Tavern,ND,,"Grand Forks, ND",Market-level seed; exact branch not verified,scored-visit,sam-row-41,[],
wing-42,The Camp Restaurant,MS,,"Natchez, MS",Market-level seed; exact branch not verified,jon-seed,,[],
wing-43,Local Cue,SC,,"Greenville, SC",Market-level seed; exact branch not verified,scored-visit,sam-row-58,"[1609,1610]","[""Greenville""]"
wing-44,Wingnutz Buffalo,NY,,"Buffalo, NY",Market-level seed; exact branch not verified,scored-visit,sam-row-11,[],
wing-45,Winky's Wings,AK,,"Anchorage, AK",Market-level seed; exact branch not verified,scored-visit,sam-row-68,"[11,12]","[""Anchorage""]"
wing-46,Southeast Kitchen,DE,,"Wilmington, DE",Market-level seed; exact branch not verified,jon-seed,,[],
wing-47,Barbacoa Grill,ID,,"Boise, ID",Market-level seed; exact branch not verified,jon-seed,,[],
wing-48,Hog Wild Beach & BBQ,AL,,"Gulf Shores, AL",Market-level seed; exact branch not verified,jon-seed,,[],
wing-49,D-Spot,MN,,"Oakdale, MN",Market-level seed; exact branch not verified,scored-visit,sam-row-56,"[840,863,841,842,843,844,852,854,855,856,857,858,859,860,862,845,846,847,848,849,850,851,861,853]","[""Minneapolis"",""Oakdale"",""Oakville"",""Oakdale Minnesota""]"
wing-50,Honey Road,VT,,"Burlington, VT",Market-level seed; exact branch not verified,jon-seed,,[],
sam-row-5,Nine Eleven,NY,,NY,State-level source; branch unknown,scored-visit,sam-row-5,[],
sam-row-6,Kelly's Korner,NY,,NY,State-level source; branch unknown,scored-visit,sam-row-6,"[1320,1321,1322]","[""Buffalo""]"
sam-row-7,Dirty Birds,CA,,CA,State-level source; branch unknown,scored-visit,sam-row-7,"[146,147,148,149,150,151]","[""San Diego""]"
sam-row-8,Elmo's,NY,,NY,State-level source; branch unknown,scored-visit,sam-row-8,"[1290,1291,1292,1293,1294,1295]","[""Buffalo""]"
sam-row-10,Sonny Red's,NY,,NY,State-level source; branch unknown,scored-visit,sam-row-10,[],
sam-row-12,Ching's Hot Wings,TN,,TN,State-level source; branch unknown,scored-visit,sam-row-12,"[1662,1663]","[""Memphis""]"
sam-row-14,Everett's,NE,,NE,State-level source; branch unknown,scored-visit,sam-row-14,"[1064,1065,1066,1067,1068,1073,1074,1069,1070,1071,1072]","[""Omaha""]"
sam-row-15,Doc Sullivan's,NY,,NY,State-level source; branch unknown,scored-visit,sam-row-15,"[1262,1263]","[""Buffalo""]"
sam-row-16,Runyon's,MN,,MN,State-level source; branch unknown,scored-visit,sam-row-16,"[873,874,875,876,877,878,881,879,880]","[""Minneapolis""]"
sam-row-18,The Dirty Buffalo,VA,,VA,State-level source; branch unknown,scored-visit,sam-row-18,[],
sam-row-19,Long Wong's,AZ,,AZ,State-level source; branch unknown,scored-visit,sam-row-19,"[98,99,100,101,102,103]","[""Laveen"",""Phoenix""]"
sam-row-20,Wayne's Wings,TX,,TX,State-level source; branch unknown,scored-visit,sam-row-20,"[1756,1757,1758,1759,1760,1761,1762,1763]","[""San Antonio""]"
sam-row-22,La Nova,NY,,NY,State-level source; branch unknown,scored-visit,sam-row-22,"[1323,1324,1325]","[""Buffalo""]"
sam-row-23,Jim's Wings,CO,,CO,State-level source; branch unknown,scored-visit,sam-row-23,"[206,207,208,209,210]","[""Fort Collins""]"
sam-row-24,KOK,LA,,LA,State-level source; branch unknown,scored-visit,sam-row-24,"[719,720,721]","[""Baton Rouge"",""Lafayette""]"
sam-row-25,Brother Z's Wang Shack,TN,,TN,State-level source; branch unknown,scored-visit,sam-row-25,[1654],"[""Nashville""]"
sam-row-26,Adolf's First Ward,NY,,NY,State-level source; branch unknown,scored-visit,sam-row-26,[],
sam-row-27,Duff's,NY,,NY,State-level source; branch unknown,scored-visit,sam-row-27,"[1268,1269,1270,1271,1272,1274,1275,1276,1277,1278,1279,1280,1281,1282,1273]","[""Buffalo""]"
sam-row-28,Pluckers,TX,,TX,State-level source; branch unknown,scored-visit,sam-row-28,"[1709,1713,1714,1715,1710,1720,1721,1722,1723,1724,1725,1726,1727,1728,1729,1730,1731,1732,1733,1734,1735,1736,1737,1738,1739,1740,1716,1717,1718,1719]","[""Austin"",""Fort Worth"",""Houston""]"
sam-row-29,Anchor Bar,NY,,NY,State-level source; branch unknown,scored-visit,sam-row-29,"[1198,1199,1200,1201,1202,1203]","[""Buffalo""]"
sam-row-30,San Tung,CA,,CA,State-level source; branch unknown,scored-visit,sam-row-30,"[169,170,171,172]","[""San Francisco""]"
sam-row-32,Q39,KS,,KS,State-level source; branch unknown,scored-visit,sam-row-32,[],
sam-row-33,Chick'n Headz,AR,,AR,State-level source; branch unknown,scored-visit,sam-row-33,"[43,48,49,50,44,45,46,47]","[""Fayetteville""]"
sam-row-34,Willy's Ale Room,ME,,ME,State-level source; branch unknown,scored-visit,sam-row-34,[772],"[""Acton""]"
sam-row-35,Sweetwater Tavern,MI,,MI,State-level source; branch unknown,scored-visit,sam-row-35,"[801,802,803,804,805,806,807,808,809,810,811,812,813,814,815,816]","[""Detroit""]"
sam-row-36,Pic-a-Lilli Inn,NJ,,NJ,State-level source; branch unknown,scored-visit,sam-row-36,[],
sam-row-37,Odis 12,PA,,PA,State-level source; branch unknown,scored-visit,sam-row-37,"[1576,1577,1578]","[""Erie""]"
sam-row-38,Domu,FL,,FL,State-level source; branch unknown,scored-visit,sam-row-38,"[321,322,323,324,325]","[""Jacksonville"",""Orlando""]"
sam-row-39,Rooster's,OH,,OH,State-level source; branch unknown,scored-visit,sam-row-39,"[1448,1456,1457,1458,1449,1450,1451,1452,1453,1463,1464,1465,1466,1467,1468,1459,1460,1461,1462]","[""Columbus"",""Springboro"",""Columbus and surrounding counties"",""Dayton"",""Lancaster"",""There are a few. Mine is in Springboro""]"
sam-row-40,Drover's Inn,WV,,WV,State-level source; branch unknown,scored-visit,sam-row-40,[1939],"[""Wellsburg""]"
sam-row-42,CD's Wings,CO,,CO,State-level source; branch unknown,scored-visit,sam-row-42,"[182,183,184,185,186,187,188]","[""Arvada"",""Westminster""]"
sam-row-43,Chicken Licks,WI,,WI,State-level source; branch unknown,scored-visit,sam-row-43,"[1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874]","[""Madison"",""Sun Prairie"",""Sun Prarie"",""Madison, Sun Prairie"",""Sun prarie Wisconsin""]"
sam-row-46,Candlelight Inn,NY,,NY,State-level source; branch unknown,scored-visit,sam-row-46,"[1242,1243,1244,1245,1246,1247,1248]","[""Scarsdale""]"
sam-row-47,Baumhower's Victory Grille,AL,,AL,State-level source; branch unknown,scored-visit,sam-row-47,[16],"[""Tuscaloosa""]"
sam-row-48,Trolley Wing Co,UT,,UT,State-level source; branch unknown,scored-visit,sam-row-48,"[1783,1784,1785,1786,1787]","[""Salt Lake City""]"
sam-row-49,Knockback Nat's,OH,,OH,State-level source; branch unknown,scored-visit,sam-row-49,"[1418,1421,1422,1426,1419,1424,1425,1423]","[""Cincinnatti"",""Cincinnati""]"
sam-row-50,Circus Bar & Grill,SD,,SD,State-level source; branch unknown,scored-visit,sam-row-50,[],
sam-row-51,Off the Wall,HI,,HI,State-level source; branch unknown,scored-visit,sam-row-51,[],
sam-row-52,Mammoser's,NY,,NY,State-level source; branch unknown,scored-visit,sam-row-52,[1332],"[""Hamburg""]"
sam-row-53,Frank's Famous Chicken and Waffles,NM,,NM,State-level source; branch unknown,scored-visit,sam-row-53,[],
sam-row-54,Windjammer's,NY,,NY,State-level source; branch unknown,scored-visit,sam-row-54,"[1375,1376,1377]","[""Rochester""]"
sam-row-55,iBar,MD,,MD,State-level source; branch unknown,scored-visit,sam-row-55,[752],"[""Baltimore""]"
sam-row-57,Dan and John's,NY,,NY,State-level source; branch unknown,scored-visit,sam-row-57,[],
sam-row-61,KoChix,DC,,DC,State-level source; branch unknown,scored-visit,sam-row-61,[],
sam-row-63,Old Union Hotel,NY,,NY,State-level source; branch unknown,scored-visit,sam-row-63,"[1344,1345,1346]","[""Binghamton""]"
sam-row-64,Fox Bros,GA,,GA,State-level source; branch unknown,scored-visit,sam-row-64,[],
sam-row-65,Lisa G's,NY,,NY,State-level source; branch unknown,scored-visit,sam-row-65,[1328],"[""Lake Placid""]"
sam-row-66,Bird Box,CA,,CA,State-level source; branch unknown,scored-visit,sam-row-66,[],
sam-row-70,Foghorn's,AR,,AR,State-level source; branch unknown,scored-visit,sam-row-70,"[56,57,58,59,60]",[]
sam-row-71,Q Bistro,NV,,NV,State-level source; branch unknown,scored-visit,sam-row-71,"[1183,1184,1185]","[""Las Vegas""]"
sam-row-72,Han's Chimaek,ID,,ID,State-level source; branch unknown,scored-visit,sam-row-72,"[506,507,508,509,510,511,512,513]","[""Boise""]"
sam-row-73,Buffalo Joe's,IL,,IL,State-level source; branch unknown,scored-visit,sam-row-73,"[545,546,547,549,552,553,548]","[""Evanston"",""Chicago""]"
sam-row-74,Blondie's,NY,,NY,State-level source; branch unknown,scored-visit,sam-row-74,[],
sam-row-75,Good Chicken,HI,,HI,State-level source; branch unknown,scored-visit,sam-row-75,[443],"[""Oahu""]"
sam-row-76,Buffalo Wild Wings,NY,,NY,State-level source; branch unknown,scored-visit,sam-row-76,[],
sam-row-77,Valley View Saloon,VT,,VT,State-level source; branch unknown,scored-visit,sam-row-77,[],
sam-row-78,Fairley's,MS,,MS,State-level source; branch unknown,scored-visit,sam-row-78,[959],"[""Hattiesburg""]"
sam-row-79,Jamal's,GA,,GA,State-level source; branch unknown,scored-visit,sam-row-79,[],
sam-row-80,Glen Park Tavern,NY,,NY,State-level source; branch unknown,scored-visit,sam-row-80,[],
sam-row-81,Gerri's,IA,,IA,State-level source; branch unknown,scored-visit,sam-row-81,"[458,459,460,461,462,463]","[""Des Moines""]"
sam-row-82,Great Northern BBQ,RI,,RI,State-level source; branch unknown,scored-visit,sam-row-82,[],
sam-row-83,Jefferson's,KS,,KS,State-level source; branch unknown,scored-visit,sam-row-83,[],
sam-row-85,Quaker Steak and Lube,VA,,VA,State-level source; branch unknown,scored-visit,sam-row-85,[],
sam-row-86,America's Best,VA,,VA,State-level source; branch unknown,scored-visit,sam-row-86,[],
sam-row-87,Wendell's Pub,MA,,MA,State-level source; branch unknown,scored-visit,sam-row-87,[742],"[""Norton""]"
sam-row-88,Express Wings and Pizzeria,DE,,DE,State-level source; branch unknown,scored-visit,sam-row-88,[],
sam-row-89,D&N Wings,CA,,CA,State-level source; branch unknown,unscored-visit,sam-row-89,[],
sam-row-90,The Local (again),GA,,GA,State-level source; branch unknown,unscored-visit,sam-row-90,[],
suggestion-1430a2109fe8,Hood Wings,AK,,AK,Suggested location only; branch and operating status unverified,suggestion,,[2],
suggestion-511c7dcd2164,Peanut Farm,AK,,AK,Suggested location only; branch and operating status unverified,suggestion,,[3],
suggestion-5a1451ef0c2a,Red Dog's Saloon,AK,Juneau,"Juneau, AK",Suggested location only; branch and operating status unverified,suggestion,,[4],
suggestion-3c085fd98270,Spur,AK,Fairbanks,"Fairbanks, AK",Suggested location only; branch and operating status unverified,suggestion,,[5],
suggestion-b948d5d3dee0,That Wing Place,AK,Anchorage,"Anchorage, AK",Suggested location only; branch and operating status unverified,suggestion,,[6],
suggestion-512e3741b515,The Alaskan Bar,AK,Cordova,"Cordova, AK",Suggested location only; branch and operating status unverified,suggestion,,[7],
suggestion-4fdd2174f437,The Alibi,AK,Homer,"Homer, AK",Suggested location only; branch and operating status unverified,suggestion,,[8],
suggestion-6995d3f3a6bb,The Chicken Coop,AK,,AK,Suggested location only; branch and operating status unverified,suggestion,,[9],
suggestion-989574e1a437,Wild Wings n Things,AK,,AK,Suggested location only; branch and operating status unverified,suggestion,,[10],
suggestion-898a4f602272,Baumhauer's,AL,Tuscaloosa,"Tuscaloosa, AL",Suggested location only; branch and operating status unverified,suggestion,,[13],
suggestion-0eece06bcd38,Baumhower’s,AL,,AL,Suggested location only; branch and operating status unverified,suggestion,,"[14,15,17,18]",
suggestion-f60b908b7060,Chuck Wagon,AL,Huntsville,"Huntsville, AL",Suggested location only; branch and operating status unverified,suggestion,,[19],
suggestion-bf2672313e31,Coop de Ville,AL,,AL,Suggested location only; branch and operating status unverified,suggestion,,[20],
suggestion-dea12034b8e8,Crickets,AL,Madison,"Madison, AL",Suggested location only; branch and operating status unverified,suggestion,,[21],
suggestion-35fdabd88a96,Dreamland,AL,,AL,Suggested location only; branch and operating status unverified,suggestion,,[22],
suggestion-48b44191d28a,Get Crickets,AL,Madison,"Madison, AL",Suggested location only; branch and operating status unverified,suggestion,,[23],
suggestion-45d8cb66f38a,J Wings,AL,Fultondale,"Fultondale, AL",Suggested location only; branch and operating status unverified,suggestion,,[24],
suggestion-cb94e25aa26e,Jay's Wings,AL,Fultondale,"Fultondale, AL",Suggested location only; branch and operating status unverified,suggestion,,[25],
suggestion-73816fd5a85e,Jefferson's,AL,Jacksonville,"Jacksonville, AL",Suggested location only; branch and operating status unverified,suggestion,,"[26,27,28]",
suggestion-2466ced45ee1,Jefferson's,AL,,AL,Suggested location only; branch and operating status unverified,suggestion,,[29],
suggestion-51628a7bac8b,Martin's BBQ,AL,Vestavia Hills,"Vestavia Hills, AL",Suggested location only; branch and operating status unverified,suggestion,,[30],
suggestion-2b4ea4a2070b,Moe's BBQ,AL,Vestavia Hills,"Vestavia Hills, AL",Suggested location only; branch and operating status unverified,suggestion,,[31],
suggestion-740b96b555c7,Ragtime Cafe,AL,Birmingham,"Birmingham, AL",Suggested location only; branch and operating status unverified,suggestion,,[32],
suggestion-0664a5a3359e,Tophers Wings,AL,Rainsville,"Rainsville, AL",Suggested location only; branch and operating status unverified,suggestion,,[33],
suggestion-50ba30744626,Wemo's Wings,AL,Mobile,"Mobile, AL",Suggested location only; branch and operating status unverified,suggestion,,"[34,35]",
suggestion-c558c985d553,Wing Heaven,AL,Fairfield,"Fairfield, AL",Suggested location only; branch and operating status unverified,suggestion,,[36],
suggestion-0a7a6702814a,Yo Mama's Chicken and Waffles,AL,Birmingham,"Birmingham, AL",Suggested location only; branch and operating status unverified,suggestion,,[37],
suggestion-26b52c5eae1c,1812 Pizza,AR,Manila,"Manila, AR",Suggested location only; branch and operating status unverified,suggestion,,[38],
suggestion-a17f9c08f702,Boar's Nest,AR,,AR,Suggested location only; branch and operating status unverified,suggestion,,[39],
suggestion-9c0960001275,Bucket's Bar and Grill,AR,Mountain Home,"Mountain Home, AR",Suggested location only; branch and operating status unverified,suggestion,,[40],
suggestion-e2846e05384a,Certified Pies,AR,Little Rock,"Little Rock, AR",Suggested location only; branch and operating status unverified,suggestion,,[41],
suggestion-bb89bc744402,Certified Pies,AR,,AR,Suggested location only; branch and operating status unverified,suggestion,,[42],
suggestion-21e169bc1e72,Count Porkula,AR,,AR,Suggested location only; branch and operating status unverified,suggestion,,[51],
suggestion-8a42f37c1de5,Daddy Smackin’ Wings & Things,AR,Russellville,"Russellville, AR",Suggested location only; branch and operating status unverified,suggestion,,[52],
suggestion-f22748e911c5,Daddy's Smackin Wings,AR,,AR,Suggested location only; branch and operating status unverified,suggestion,,"[53,54]",
suggestion-03f21b578a54,Dem Dam Wings,AR,,AR,Suggested location only; branch and operating status unverified,suggestion,,[55],
suggestion-a38df8435366,Hideaway Pizza,AR,Conway,"Conway, AR",Suggested location only; branch and operating status unverified,suggestion,,[61],
suggestion-713c4de6810e,JJs,AR,,AR,Suggested location only; branch and operating status unverified,suggestion,,"[62,63]",
suggestion-207349794dd6,Lucky Luke's,AR,,AR,Suggested location only; branch and operating status unverified,suggestion,,[64],
suggestion-7122eec061e8,Lucky Luke’s,AR,Fayetteville,"Fayetteville, AR",Suggested location only; branch and operating status unverified,suggestion,,[65],
suggestion-1555c076a244,Parker's,AR,Fayetteville,"Fayetteville, AR",Suggested location only; branch and operating status unverified,suggestion,,[66],
suggestion-0d56b0d4b7e0,Parkside Pub,AR,,AR,Suggested location only; branch and operating status unverified,suggestion,,[67],
suggestion-ce0cb5cf9ded,Rock House,AR,Searcy,"Searcy, AR",Suggested location only; branch and operating status unverified,suggestion,,[68],
suggestion-aa322eef9b3b,The Hills Hideaway,AR,Fayetteville,"Fayetteville, AR",Suggested location only; branch and operating status unverified,suggestion,,[69],
suggestion-9eb2bc1a7d33,The Rail - A Pizza Company,AR,Rogers,"Rogers, AR",Suggested location only; branch and operating status unverified,suggestion,,[70],
suggestion-7ef33b08260c,Walker's Wings and Things,AR,Hot Springs,"Hot Springs, AR",Suggested location only; branch and operating status unverified,suggestion,,[71],
suggestion-3113ab8fb2c5,Wing Shack,AR,Mountain View,"Mountain View, AR",Suggested location only; branch and operating status unverified,suggestion,,[72],
suggestion-264cd1c42767,Wing Shack Bar and Grille,AR,,AR,Suggested location only; branch and operating status unverified,suggestion,,[73],
suggestion-3062ac0e4c76,Ace of Wingz,AZ,Phoenix,"Phoenix, AZ",Suggested location only; branch and operating status unverified,suggestion,,[74],
suggestion-5852b57460cb,ATL Wings,AZ,Chandler,"Chandler, AZ",Suggested location only; branch and operating status unverified,suggestion,,[75],
suggestion-a066da53c56f,ATL Wings,AZ,,AZ,Suggested location only; branch and operating status unverified,suggestion,,"[76,77,78,79,80,81]",
suggestion-ad84323be972,Ballpark Pizza and Subs,AZ,Glendale,"Glendale, AZ",Suggested location only; branch and operating status unverified,suggestion,,[82],
suggestion-9c0ee5d10e4d,Barro's Wings,AZ,Phoenix,"Phoenix, AZ",Suggested location only; branch and operating status unverified,suggestion,,[83],
suggestion-6c404883896f,Bird House,AZ,Page,"Page, AZ",Suggested location only; branch and operating status unverified,suggestion,,[84],
suggestion-eb83a91e23e9,Booty's Wings,AZ,Surprise,"Surprise, AZ",Suggested location only; branch and operating status unverified,suggestion,,"[85,86]",
suggestion-a6cc9f353add,Booty’s Wings,AZ,,AZ,Suggested location only; branch and operating status unverified,suggestion,,"[87,88]",
suggestion-b616efe1f20c,Brick and Barley,AZ,Tempe,"Tempe, AZ",Suggested location only; branch and operating status unverified,suggestion,,[89],
suggestion-1201f7d6375c,Buffalo Bar and Grill,AZ,Payson,"Payson, AZ",Suggested location only; branch and operating status unverified,suggestion,,[90],
suggestion-668f176f768e,Copperstill Moonshine Grill,AZ,,AZ,Suggested location only; branch and operating status unverified,suggestion,,[91],
suggestion-62d850d8e18c,DTC Sports Grill,AZ,Chandler,"Chandler, AZ",Suggested location only; branch and operating status unverified,suggestion,,[92],
suggestion-eac9bf09a8fd,Goldie's Sports Cafe,AZ,,AZ,Suggested location only; branch and operating status unverified,suggestion,,[93],
