id,name,state,market,locationStatus
wing-1,Bar-Bill Tavern,NY,"East Aurora, NY",Market-level seed; exact branch not verified
wing-2,J. Timothy's Taverne,CT,"Plainville, CT",Market-level seed; exact branch not verified
wing-3,Valley Wings,AZ,"Phoenix, AZ",Market-level seed; exact branch not verified
wing-4,Buff's Pub,MA,"Newton, MA",Market-level seed; exact branch not verified
wing-5,The Peanut,MO,"Kansas City, MO",Market-level seed; exact branch not verified
wing-6,Seoulside Wings,TX,"Houston, TX",Market-level seed; exact branch not verified
wing-7,Vindicktive Bar & Wings,WA,"Seattle, WA",Market-level seed; exact branch not verified
wing-8,Gabriel's Gate,NY,"Buffalo, NY",Market-level seed; exact branch not verified
wing-9,Clay's Sports Cafe,GA,"Atlanta, GA",Market-level seed; exact branch not verified
wing-10,Kislings Tavern,MD,"Baltimore, MD",Market-level seed; exact branch not verified
wing-11,Double Dub's,WY,Wyoming,Market-level seed; exact branch not verified
wing-12,Gators Wing Shack,IL,"Palatine, IL",Market-level seed; exact branch not verified
wing-13,Center Street Grille,PA,"Enola, PA",Market-level seed; exact branch not verified
wing-14,AJ's Wings,NM,"Portales, NM",Market-level seed; exact branch not verified
wing-15,Mario's Fishbowl,WV,"Morgantown, WV",Market-level seed; exact branch not verified
wing-16,Chute Rooster,SD,"Hill City, SD",Market-level seed; exact branch not verified
wing-17,Bayou Hot Wings,LA,"New Orleans, LA",Market-level seed; exact branch not verified
wing-18,Jimmy's Old Town Tavern,VA,"Herndon, VA",Market-level seed; exact branch not verified
wing-19,Stark House Tavern,NH,"Weare, NH",Market-level seed; exact branch not verified
wing-20,The Original Wing Factory,GA,"Atlanta, GA",Market-level seed; exact branch not verified
wing-21,Wing Doozy,MI,Michigan,Market-level seed; exact branch not verified
wing-22,Scovilles,UT,"Salt Lake City, UT",Market-level seed; exact branch not verified
wing-23,Nawf of the City B&G,AR,"North Little Rock, AR",Market-level seed; exact branch not verified
wing-24,Fire on the Mountain,OR,"Portland, OR",Market-level seed; exact branch not verified
wing-25,Ale Emporium,IN,"Indianapolis, IN",Market-level seed; exact branch not verified
wing-26,Supreme Hot Wings,TN,"Memphis, TN",Market-level seed; exact branch not verified
wing-27,Desperado Sports Tavern,MT,"Missoula, MT",Market-level seed; exact branch not verified
wing-28,Moosehead Grille,NC,"Charlotte, NC",Market-level seed; exact branch not verified
wing-29,Crispy Gài,ME,"Portland, ME",Market-level seed; exact branch not verified
wing-30,Flanigan's,FL,South Florida,Market-level seed; exact branch not verified
wing-31,Legend Larry's,WI,Wisconsin,Market-level seed; exact branch not verified
wing-32,Wing Supreme,OK,"Oklahoma City, OK",Market-level seed; exact branch not verified
wing-33,The Local,GA,"Atlanta, GA",Market-level seed; exact branch not verified
wing-34,Colorado Hots,CO,"Wheat Ridge, CO",Market-level seed; exact branch not verified
wing-35,Chicago Pizza & Sports,GA,"Atlanta, GA",Market-level seed; exact branch not verified
wing-36,Chicken Coop Kitchen & Bar,RI,"Johnston, RI",Market-level seed; exact branch not verified
wing-37,Trap Wingz,GA,"Atlanta, GA",Atlanta market verified from official locations; historical tasting branch unresolved
wing-38,"Momma's Mustard, Pickles & BBQ",KY,"Louisville, KY",Market-level seed; exact branch not verified
wing-39,The Pig and the Lady,HI,"Honolulu, HI",Market-level seed; exact branch not verified
wing-40,Oscars Pizza & Sports Grille,NE,"Omaha, NE",Market-level seed; exact branch not verified
wing-41,Parrot's Cay Tavern,ND,"Grand Forks, ND",Market-level seed; exact branch not verified
wing-42,The Camp Restaurant,MS,"Natchez, MS",Market-level seed; exact branch not verified
wing-43,Local Cue,SC,"Greenville, SC",Market-level seed; exact branch not verified
wing-44,Wingnutz Buffalo,NY,"Buffalo, NY",Market-level seed; exact branch not verified
wing-45,Winky's Wings,AK,"Anchorage, AK",Market-level seed; exact branch not verified
wing-46,Southeast Kitchen,DE,"Wilmington, DE",Market-level seed; exact branch not verified
wing-47,Barbacoa Grill,ID,"Boise, ID",Market-level seed; exact branch not verified
wing-48,Hog Wild Beach & BBQ,AL,"Gulf Shores, AL",Market-level seed; exact branch not verified
wing-49,D-Spot,MN,"Oakdale, MN",Market-level seed; exact branch not verified
wing-50,Honey Road,VT,"Burlington, VT",Market-level seed; exact branch not verified
