id,sourceRow,rank,rankText,name,state,region,total,videoOrder,wingsEaten,jonId,matchNote,videoUrl,appearance,meatiness,texture,sauce,experience
sam-row-2,2,1,1,The Local,GA,Southeast Atlantic,47.5,17,10,wing-33,Reviewed name/alias + state association to Jon's seed. Exact branch not established by this sheet; blend is provisional.,https://youtu.be/h6Uv-KjfAxI,9.5,10,8.5,9.5,10
sam-row-3,3,2,2,Bar Bill,NY,New York,47.25,80,10,wing-1,Reviewed name/alias + state association to Jon's seed. Exact branch not established by this sheet; blend is provisional.,,9.5,9,9.25,9.5,10
sam-row-4,4,3,3,Weitzel's Wings (aka Double Dubs),WY,Rocky Mountains,47.25,48,21,wing-11,Reviewed name/alias + state association to Jon's seed. Exact branch not established by this sheet; blend is provisional.,https://youtu.be/cTH6Xo76UZo,9.75,8,9.75,10,9.75
sam-row-5,5,4,4,Nine Eleven,NY,New York,46.75,87,10,,,,9.5,9,9.5,9.25,9.5
sam-row-6,6,5,5,Kelly's Korner,NY,New York,46.5,77,10,,,,9.5,8.75,9.5,9.5,9.25
sam-row-7,7,6,6,Dirty Birds,CA,Southwest,46.25,35,10,,,https://youtu.be/_UUMeSr5Lo0,9.5,9,9.75,8.5,9.5
sam-row-8,8,7,7,Elmo's,NY,New York,46.25,76,10,,,,9.25,8.75,9.5,9,9.75
sam-row-9,9,8,8,J. Timothy's Taverne,CT,New England,45.5,7,12,wing-2,Reviewed name/alias + state association to Jon's seed. Exact branch not established by this sheet; blend is provisional.,https://youtu.be/uVXVO8GVMvc,9,8.5,9,9.5,9.5
sam-row-10,10,9,9,Sonny Red's,NY,New York,45.5,84,11,,,,10,8.5,7.75,9.75,9.5
sam-row-11,11,10,10,Wingnutz,NY,New York,45.5,78,9,wing-44,Reviewed name/alias + state association to Jon's seed. Exact branch not established by this sheet; blend is provisional.,,9.25,9.5,9,8.75,9
sam-row-12,12,11,11,Ching's Hot Wings,TN,Southeast Central,45.25,24,10,,,https://youtu.be/7U-TqhoFpIY,8.5,8.5,9.75,9,9.5
sam-row-13,13,12,12,Vindicktive Wings,WA,PNW / Non Contiguous,44.75,40,20,wing-7,Reviewed name/alias + state association to Jon's seed. Exact branch not established by this sheet; blend is provisional.,,9,7.5,9.5,9.25,9.5
sam-row-14,14,13,13,Everett's,NE,Midwest / Great Plains,44.75,54,10,,,,9.25,9,9,8.25,9.25
sam-row-15,15,14,14,Doc Sullivan's,NY,New York,44.75,82,10,,,,9,9,8.75,9,9
sam-row-16,16,15,15,Runyon's,MN,Midwest / Great Plains,44.5,53,10,,,,9,9,9,8.25,9.25
